"행정구역","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수"
"서울특별시  (1100000000)","9,409,466","4,473,734","          2.10","4,554,020","4,855,446"
"서울특별시 서울특별시 종로구 (1111000000)","140,032","72,381","          1.93","67,682","72,350"
"서울특별시 서울특별시 중구 (1114000000)","121,482","64,558","          1.88","58,840","62,642"
"서울특별시 서울특별시 용산구 (1117000000)","216,547","109,527","          1.98","103,993","112,554"
"서울특별시 서울특별시 성동구 (1120000000)","278,750","133,433","          2.09","135,346","143,404"
"서울특별시 서울특별시 광진구 (1121500000)","336,446","170,210","          1.98","161,828","174,618"
"서울특별시 서울특별시 동대문구 (1123000000)","340,333","172,680","          1.97","167,083","173,250"
"서울특별시 서울특별시 중랑구 (1126000000)","383,072","187,877","          2.04","188,091","194,981"
"서울특별시 서울특별시 성북구 (1129000000)","428,122","197,673","          2.17","205,537","222,585"
"서울특별시 서울특별시 강북구 (1130500000)","290,583","144,345","          2.01","140,828","149,755"
"서울특별시 서울특별시 도봉구 (1132000000)","307,968","138,102","          2.23","149,408","158,560"
"서울특별시 서울특별시 노원구 (1135000000)","499,908","218,087","          2.29","240,063","259,845"
"서울특별시 서울특별시 은평구 (1138000000)","465,977","215,200","          2.17","221,459","244,518"
"서울특별시 서울특별시 서대문구 (1141000000)","307,672","147,271","          2.09","146,292","161,380"
"서울특별시 서울특별시 마포구 (1144000000)","364,573","181,177","          2.01","170,455","194,118"
"서울특별시 서울특별시 양천구 (1147000000)","437,665","181,139","          2.42","213,802","223,863"
"서울특별시 서울특별시 강서구 (1150000000)","565,195","274,426","          2.06","270,918","294,277"
"서울특별시 서울특별시 구로구 (1153000000)","394,363","184,484","          2.14","193,517","200,846"
"서울특별시 서울특별시 금천구 (1154500000)","228,858","120,696","          1.90","115,190","113,668"
"서울특별시 서울특별시 영등포구 (1156000000)","375,526","190,508","          1.97","184,189","191,337"
"서울특별시 서울특별시 동작구 (1159000000)","380,478","187,178","          2.03","184,062","196,416"
"서울특별시 서울특별시 관악구 (1162000000)","485,994","286,379","          1.70","244,539","241,455"
"서울특별시 서울특별시 서초구 (1165000000)","404,616","168,924","          2.40","192,847","211,769"
"서울특별시 서울특별시 강남구 (1168000000)","540,730","238,500","          2.27","258,464","282,266"
"서울특별시 서울특별시 송파구 (1171000000)","656,176","286,095","          2.29","315,487","340,689"
"서울특별시 서울특별시 강동구 (1174000000)","458,400","202,884","          2.26","224,100","234,300"
