num,sgId,sgName,sgTypecode,sgVotedate
1,19971218,제15대 대통령선거,0,19971218
2,19971218,대통령선거,1,19971218
3,20000413,제16대 국회의원선거,0,20000413
4,20000413,국회의원선거,2,20000413
5,20000413,비례대표국회의원선거,7,20000413
6,20021219,제16대 대통령선거,0,20021219
7,20021219,대통령선거,1,20021219
8,20040415,제17대 국회의원선거,0,20040415
9,20040415,국회의원선거,2,20040415
10,20040415,비례대표국회의원선거,7,20040415
11,20060531,제4회 전국동시지방선거,0,20060531
12,20060531,시·도지사선거,3,20060531
13,20060531,구·시·군의장선거,4,20060531
14,20060531,시·도의회의원선거,5,20060531
15,20060531,구·시·군의회의원선거,6,20060531
16,20060531,광역의원비례대표선거,8,20060531
17,20060531,기초의원비례대표선거,9,20060531
18,20060531,교육의원선거,10,20060531
19,20071219,제17대 대통령선거,0,20071219
20,20071219,대통령선거,1,20071219
21,20080409,제18대 국회의원선거,0,20080409
22,20080409,국회의원선거,2,20080409
23,20080409,비례대표국회의원선거,7,20080409
24,20100602,제5회 전국동시지방선거,0,20100602
25,20100602,시·도지사선거,3,20100602
26,20100602,구·시·군의장선거,4,20100602
27,20100602,시·도의회의원선거,5,20100602
28,20100602,구·시·군의회의원선거,6,20100602
29,20100602,광역의원비례대표선거,8,20100602
30,20100602,기초의원비례대표선거,9,20100602
31,20100602,교육의원선거,10,20100602
32,20100602,교육감선거,11,20100602
33,20120411,제19대 국회의원선거,0,20120411
34,20120411,국회의원선거,2,20120411
35,20120411,비례대표국회의원선거,7,20120411
36,20121219,제18대 대통령선거,0,20121219
37,20121219,대통령선거,1,20121219
38,20140604,제6회 전국동시지방선거,0,20140604
39,20140604,시·도지사선거,3,20140604
40,20140604,구·시·군의 장선거,4,20140604
41,20140604,시·도의회의원선거,5,20140604
42,20140604,구·시·군의회의원선거,6,20140604
43,20140604,광역의원비례대표선거,8,20140604
44,20140604,기초의원비례대표선거,9,20140604
45,20140604,교육의원선거,10,20140604
46,20140604,교육감선거,11,20140604
47,20160413,제20대 국회의원선거,0,20160413
48,20160413,국회의원선거,2,20160413
49,20160413,구·시·군의장선거,4,20160413
50,20160413,시·도의회의원선거,5,20160413
51,20160413,구·시·군의회의원선거,6,20160413
52,20160413,비례대표국회의원선거,7,20160413
53,20170509,제19대 대통령선거,0,20170509
54,20170509,대통령선거,1,20170509
55,20170509,시·도의회의원선거,5,20170509
56,20170509,구·시·군의회의원선거,6,20170509
57,20180613,제7회 전국동시지방선거,0,20180613
58,20180613,국회의원선거,2,20180613
59,20180613,시·도지사선거,3,20180613
60,20180613,구·시·군의 장선거,4,20180613
61,20180613,시·도의회의원선거,5,20180613
62,20180613,구·시·군의회의원선거,6,20180613
63,20180613,광역의원비례대표선거,8,20180613
64,20180613,기초의원비례대표선거,9,20180613
65,20180613,교육의원선거,10,20180613
66,20180613,교육감선거,11,20180613
67,20190403,2019년 보궐선거,0,20190403
68,20190403,국회의원선거,2,20190403
69,20190403,구·시·군의회의원선거,6,20190403
70,20200415,제21대 국회의원선거,0,20200415
71,20200415,국회의원선거,2,20200415
72,20200415,구·시·군의 장선거,4,20200415
73,20200415,시·도의회의원선거,5,20200415
74,20200415,구·시·군의회의원선거,6,20200415
75,20200415,비례대표국회의원선거,7,20200415
76,20210407,2021년 재·보궐선거,0,20210407
77,20210407,시·도지사선거,3,20210407
78,20210407,구·시·군의 장선거,4,20210407
79,20210407,시·도의회의원선거,5,20210407
80,20210407,구·시·군의회의원선거,6,20210407
81,20220309,제20대 대통령선거,0,20220309
82,20220309,대통령선거,1,20220309
83,20220309,국회의원선거,2,20220309
84,20220601,제8회 전국동시지방선거,0,20220601
85,20220601,국회의원선거,2,20220601
86,20220601,시·도지사선거,3,20220601
87,20220601,구·시·군의 장선거,4,20220601
88,20220601,시·도의회의원선거,5,20220601
89,20220601,구·시·군의회의원선거,6,20220601
90,20220601,광역의원비례대표선거,8,20220601
91,20220601,기초의원비례대표선거,9,20220601
92,20220601,교육의원선거,10,20220601
93,20220601,교육감선거,11,20220601
94,20230405,2023년 상반기 재·보궐선거,0,20230405
95,20230405,국회의원선거,2,20230405
96,20230405,구·시·군의 장선거,4,20230405
97,20230405,시·도의회의원선거,5,20230405
98,20230405,구·시·군의회의원선거,6,20230405
99,20230405,교육감선거,11,20230405
100,20231011,2023년 하반기 재·보궐선거,0,20231011
101,20231011,구·시·군의장선거,4,20231011
